headline,date,doc_type,author,section,url,news_desk,material_type,word_count,keywords
Suspect in 2 Manhattan Rapes Is Arrested in Rhode Island,2002-03-18,article,['Jacob Fries'],,https://www.nytimes.com/2002/03/18/nyregion/suspect-in-2-manhattan-rapes-is-arrested-in-rhode-island.html,Metropolitan Desk,News,624.0,"[('glocations', 'New York City'), ('persons', 'Kelly, Raymond W'), ('persons', 'CAPERNA, ANDRE'), ('subject', 'Robberies and Thefts'), ('subject', 'Sex Crimes'), ('subject', 'Asian-Americans')]"
Same Suspect Being Sought In Two Rapes On East Side,2002-03-17,article,['Jacob Fries'],,https://www.nytimes.com/2002/03/17/nyregion/same-suspect-being-sought-in-two-rapes-on-east-side.html,Metropolitan Desk,News,517.0,"[('glocations', 'New York City'), ('organizations', 'New York University'), ('subject', 'Robberies and Thefts'), ('subject', 'Sex Crimes'), ('subject', 'Asian-Americans')]"
More Insulted And Attacked After Sept. 11,2002-03-11,article,[],,https://www.nytimes.com/2002/03/11/us/a-nation-challenged-the-immigrants-more-insulted-and-attacked-after-sept-11.html,National Desk,News,402.0,"[('glocations', 'New York City'), ('glocations', 'Washington (DC)'), ('organizations', 'NATIONAL ASIAN PACIFIC AMERICAN LEGAL CONSORTIUM'), ('subject', 'Indian-Americans'), ('subject', 'World Trade Center (NYC)'), ('subject', 'AIRLINES AND AIRPLANES'), ('subject', 'Pentagon Building'), ('subject', 'IMMIGRATION AND REFUGEES'), ('subject', 'Missing Persons'), ('subject', 'Hijacking'), ('subject', 'Pakistani-Americans'), ('subject', 'Discrimination'), ('subject', 'Asian-Americans'), ('subject', 'Terrorism')]"
A Kid From Flushing Becomes The Voice of the Asian Community,2002-02-17,article,['Denny Lee'],,https://www.nytimes.com/2002/02/17/nyregion/neighborhood-report-citypeople-kid-flushing-becomes-voice-asian-community.html,The City Weekly Desk,News,638.0,"[('glocations', 'New York City'), ('persons', 'Liu, John C'), ('subject', 'Politics and Government'), ('subject', 'Asian-Americans')]"
The Nation; Where the Minorities Rule,2002-02-10,article,['Gregory Rodriguez'],,https://www.nytimes.com/2002/02/10/weekinreview/the-nation-where-the-minorities-rule.html,Week in Review Desk,News,1187.0,"[('glocations', 'Los Angeles (Calif)'), ('subject', 'Social Conditions and Trends'), ('subject', 'Affirmative Action'), ('subject', 'Minorities (US)'), ('subject', 'Quotas'), ('subject', 'Education and Schools'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Politics and Government'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
Return to Segregation,2001-12-09,article,['James Traub'],,https://www.nytimes.com/2001/12/09/magazine/the-year-in-ideas-a-to-z-return-to-segregation.html,Magazine Desk,News,790.0,"[('glocations', 'United States'), ('subject', 'Social Conditions and Trends'), ('subject', 'Minorities (US)'), ('subject', 'TWO THOUSAND AND ONE (YEAR)'), ('subject', 'IMMIGRATION AND REFUGEES'), ('subject', 'Housing'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Discrimination'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans'), ('subject', 'Census')]"
Where Islam Meets 'Brave New World',2001-11-11,article,['Tara Bahrampour'],,https://www.nytimes.com/2001/11/11/education/where-islam-meets-brave-new-world.html,Education Life Supplement,News,2395.0,"[('glocations', 'New York City'), ('organizations', 'AL NOOR SCHOOL'), ('subject', 'ARAB-AMERICANS'), ('subject', 'Education and Schools'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Muslim-Americans'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
New City Council a Portrait Composed by Term Limits,2001-11-11,article,['Jonathan Hicks'],,https://www.nytimes.com/2001/11/11/nyregion/new-city-council-a-portrait-composed-by-term-limits.html,Metropolitan Desk,News,955.0,"[('glocations', 'New York City'), ('persons', 'Monserrate, Hiram'), ('persons', 'LIU, JOHN'), ('subject', 'City Councils'), ('subject', 'Politics and Government'), ('subject', 'Women'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
McGreevey and Schundler Place Election Day Hopes on Minorities,2001-11-03,article,['Ronald Smothers'],,https://www.nytimes.com/2001/11/03/nyregion/mcgreevey-and-schundler-place-election-day-hopes-on-minorities.html,Metropolitan Desk,News,721.0,"[('glocations', 'New Jersey'), ('persons', 'McGreevey, James E'), ('persons', 'Schundler, Bret D'), ('subject', 'JEWS'), ('subject', 'Minorities (US)'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Governors (US)'), ('subject', 'Elections'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
Seeking Influence For Asian-Americans,2001-10-28,article,['Irena Stern'],,https://www.nytimes.com/2001/10/28/nyregion/politics-seeking-influence-for-asian-americans.html,Westchester Weekly Desk,News,1208.0,"[('glocations', 'Westchester County (NY)'), ('glocations', 'Rye (NY)'), ('persons', 'FANG, MARK'), ('persons', 'CHU, FRANKLIN'), ('subject', 'City Councils'), ('subject', 'Elections'), ('subject', 'Asian-Americans')]"
Celebrating the Moon,2001-10-14,article,['Margo Nash'],,https://www.nytimes.com/2001/10/14/nyregion/jersey-footlights-celebrating-the-moon.html,New Jersey Weekly Desk,News,140.0,"[('organizations', 'Nai-Ni Chen Dance Company'), ('subject', 'Music'), ('subject', 'Asian-Americans'), ('subject', 'Dancing')]"
A Kaleidoscope of Images From Asian-American Lives,2001-10-14,article,['Denny Lee'],,https://www.nytimes.com/2001/10/14/nyregion/neighborhood-report-chinatown-a-kaleidoscope-of-images-from-asian-american-lives.html,The City Weekly Desk,News,143.0,"[('glocations', 'New York City'), ('organizations', 'Museum of Chinese in the Americas'), ('subject', 'Photography'), ('subject', 'Asian-Americans')]"
Preparing Early for the First of the All-Important Tests,2001-10-10,article,['Yilu Zhao'],,https://www.nytimes.com/2001/10/10/nyregion/preparing-early-for-the-first-of-the-all-important-tests.html,Metropolitan Desk,News,1123.0,"[('subject', 'Education and Schools'), ('subject', 'Asian-Americans')]"
San Gabriel Journal; A Cool Tea Heats Up Night Life,2001-09-29,article,['David Chen'],,https://www.nytimes.com/2001/09/29/us/san-gabriel-journal-a-cool-tea-heats-up-night-life.html,National Desk,News,856.0,"[('glocations', 'SAN GABRIEL (CALIF)'), ('glocations', 'California'), ('glocations', 'Taiwan'), ('subject', 'Tea'), ('subject', 'BOBA (TEA DRINK)'), ('subject', 'Asian-Americans')]"
